n_outputs,status,build_ms,sign_ms,submit_ms,txbody_bytes,fee_lovelace,error
1,built,337,,,423,Lovelace,
2,built,327,,,553,Lovelace,
3,built,327,,,683,Lovelace,
4,built,327,,,813,Lovelace,
5,built,349,,,943,Lovelace,
6,built,346,,,1073,Lovelace,
7,built,348,,,1203,Lovelace,
8,built,338,,,1333,Lovelace,
9,built,339,,,1463,Lovelace,
10,built,338,,,1593,Lovelace,
11,built,349,,,1723,Lovelace,
12,built,348,,,1853,Lovelace,
13,built,348,,,1983,Lovelace,
14,built,348,,,2113,Lovelace,
15,built,348,,,2243,Lovelace,
16,built,349,,,2373,Lovelace,
17,built,348,,,2503,Lovelace,
18,built,340,,,2633,Lovelace,
19,built,348,,,2763,Lovelace,
20,built,340,,,2893,Lovelace,
21,built,340,,,3023,Lovelace,
22,built,338,,,3153,Lovelace,
23,built,339,,,3285,Lovelace,
24,built,338,,,3415,Lovelace,
25,built,378,,,3545,Lovelace,
26,built,340,,,3675,Lovelace,
27,built,338,,,3805,Lovelace,
28,built,338,,,3935,Lovelace,
29,built,339,,,4065,Lovelace,
30,built,338,,,4195,Lovelace,
31,built,349,,,4325,Lovelace,
32,built,331,,,4455,Lovelace,
33,built,349,,,4585,Lovelace,
34,built,359,,,4715,Lovelace,
35,built,337,,,4845,Lovelace,
36,built,337,,,4975,Lovelace,
37,built,338,,,5105,Lovelace,
38,built,378,,,5235,Lovelace,
39,built,339,,,5365,Lovelace,
40,built,328,,,5495,Lovelace,
41,built,349,,,5625,Lovelace,
42,built,349,,,5755,Lovelace,
43,built,349,,,5885,Lovelace,
44,built,349,,,6015,Lovelace,
45,built,359,,,6145,Lovelace,
46,built,351,,,6275,Lovelace,
47,built,339,,,6405,Lovelace,
48,built,370,,,6535,Lovelace,
49,built,341,,,6665,Lovelace,
50,built,340,,,6795,Lovelace,
51,built,349,,,6925,Lovelace,
52,built,351,,,7055,Lovelace,
53,built,370,,,7185,Lovelace,
54,built,348,,,7315,Lovelace,
55,built,351,,,7445,Lovelace,
56,built,350,,,7575,Lovelace,
57,built,350,,,7705,Lovelace,
58,built,359,,,7835,Lovelace,
59,built,362,,,7965,Lovelace,
60,built,379,,,8095,Lovelace,
61,built,360,,,8225,Lovelace,
62,built,361,,,8355,Lovelace,
63,built,359,,,8485,Lovelace,
64,built,349,,,8615,Lovelace,
65,built,371,,,8745,Lovelace,
66,built,361,,,8875,Lovelace,
67,built,361,,,9005,Lovelace,
68,built,360,,,9135,Lovelace,
69,built,360,,,9265,Lovelace,
70,built,350,,,9395,Lovelace,
71,built,349,,,9525,Lovelace,
72,built,371,,,9655,Lovelace,
73,built,370,,,9785,Lovelace,
74,built,409,,,9915,Lovelace,
75,built,360,,,10045,Lovelace,
76,built,360,,,10175,Lovelace,
77,built,351,,,10305,Lovelace,
78,built,361,,,10435,Lovelace,
79,built,350,,,10565,Lovelace,
80,built,361,,,10695,Lovelace,
81,built,359,,,10825,Lovelace,
82,built,363,,,10955,Lovelace,
83,built,362,,,11085,Lovelace,
84,built,363,,,11215,Lovelace,
85,built,373,,,11345,Lovelace,
86,built,361,,,11475,Lovelace,
87,built,381,,,11605,Lovelace,
88,built,361,,,11735,Lovelace,
89,built,371,,,11865,Lovelace,
90,built,363,,,11995,Lovelace,
91,built,372,,,12125,Lovelace,
92,built,361,,,12255,Lovelace,
93,built,372,,,12385,Lovelace,
94,built,361,,,12515,Lovelace,
95,built,373,,,12645,Lovelace,
96,built,352,,,12775,Lovelace,
97,built,371,,,12905,Lovelace,
98,built,371,,,13035,Lovelace,
99,built,371,,,13165,Lovelace,
100,built,372,,,13295,Lovelace,
101,built,360,,,13425,Lovelace,
102,built,381,,,13555,Lovelace,
103,built,381,,,13685,Lovelace,
104,built,382,,,13815,Lovelace,
105,built,372,,,13945,Lovelace,
106,built,381,,,14075,Lovelace,
107,built,373,,,14205,Lovelace,
108,built,382,,,14335,Lovelace,
109,built,363,,,14465,Lovelace,
110,built,373,,,14595,Lovelace,
111,built,373,,,14725,Lovelace,
112,built,383,,,14855,Lovelace,
113,built,382,,,14985,Lovelace,
